"name","url","poem"
"EF8-15mm F4L フィッシュアイ USM","https://cweb.canon.jp/ef/lineup/wide-zoom/ef8-15-f4l/","さまざまな画角を楽しめるフィッシュアイズームレンズ。"
"EF11-24mm F4L USM","https://cweb.canon.jp/ef/lineup/wide-zoom/ef11-24-f4l-usm/","世界最広角を実現した、 新しい映像表現を可能にする超広角ズームレンズ"
"EF16-35mm F2.8L III USM","https://cweb.canon.jp/ef/lineup/wide-zoom/ef16-35-f28liii/","ズーム全域・周辺部までこだわった大口径・超広角ズームレンズ。"
"EF16-35mm F4L IS USM","https://cweb.canon.jp/ef/lineup/wide-zoom/ef16-35-f4l-is-usm/","高画質と手ブレ補正を両立した 超広角ズームレンズ。"
"EF17-40mm F4L USM","https://cweb.canon.jp/ef/lineup/wide-zoom/ef17-40-f4l/","軽量・コンパクトな超広角ズームレンズ。"
"EF24-70mm F2.8L II USM","https://cweb.canon.jp/ef/lineup/standard-zoom/ef24-70-f28l-ii/","さらなる描写力を追求した大口径・標準ズームレンズ。"
"EF24-70mm F4L IS USM","https://cweb.canon.jp/ef/lineup/standard-zoom/ef24-70-f4l/","マクロ撮影も可能な小型・軽量の標準ズームレンズ。"
"EF24-105mm F3.5-5.6 IS STM","https://cweb.canon.jp/ef/lineup/standard-zoom/ef24-105-f35-56is-stm/","カメラのポテンシャルを引き出す高画質・軽量な標準ズームレンズ。"
"EF24-105mm F4L IS II USM","https://cweb.canon.jp/ef/lineup/standard-zoom/ef24-105-f4lii/","更なる高画質を実現した新スタンダードLレンズ。"
"EF28-300mm F3.5-5.6L IS USM","https://cweb.canon.jp/ef/lineup/tele-zoom/ef28-300-f35-56l/","広角から望遠まで対応できる高倍率ズームレンズ。"
"EF70-200mm F2.8L IS III USM","https://cweb.canon.jp/ef/lineup/tele-zoom/ef70-200-f28l-iii/","フレア・ゴーストを抑制。完成度を高めた大口径・望遠ズームレンズ。"
