"name","url","poem"
"GF23mmF4 R LM WR","https://fujifilm-x.com/ja-jp/lenses/gf23mmf4-r-lm-wr/","35mm判換算18mm相当の超広角レンズ"
"GF45mmF2.8 R WR","https://fujifilm-x.com/ja-jp/lenses/gf45mmf28-r-wr/","小型軽量（約490g）の広角レンズ"
"GF63mmF2.8 R WR","https://fujifilm-x.com/ja-jp/lenses/gf63mmf28-r-wr/","35mm判換算で約50mmの焦点距離を持つGマウント用の標準レンズ"
"GF110mmF2 R LM WR","https://fujifilm-x.com/ja-jp/lenses/gf110mmf2-r-lm-wr/","美しいボケ味に拘った、ポートレート撮影に最適な大口径中望遠レンズ"
"GF120mmF4 R LM OIS WR Macro","https://fujifilm-x.com/ja-jp/lenses/gf120mmf4-r-lm-ois-wr-macro/","Gマウントの中望遠マクロレンズ"
"GF250mmF4 R LM OIS WR","https://fujifilm-x.com/ja-jp/lenses/gf250mmf4-r-lm-ois-wr/","Gマウントの望遠レンズ"
"GF32-64mmF4 R LM WR","https://fujifilm-x.com/ja-jp/lenses/gf32-64mmf4-r-lm-wr/","Gマウントの標準ズームレンズ"
"GF100-200mmF5.6 R LM OIS WR","https://fujifilm-x.com/ja-jp/lenses/gf100-200mmf56-r-lm-ois-wr/","35mm判換算79-158mm相当のGマウント用望遠ズームレンズ"
"GF1.4X TC WR","https://fujifilm-x.com/ja-jp/lenses/gf14x-tc-wr/","1.4倍に拡大するテレコンバーター"
"XF14mmF2.8 R","https://fujifilm-x.com/ja-jp/lenses/xf14mmf28-r/","中心部のモチーフから周辺のディテールまで画面のすべてを破綻なく高い解像力で描く"
"XF16mmF1.4 R WR","https://fujifilm-x.com/ja-jp/lenses/xf16mmf14-r-wr/","大口径超広角レンズという選択。唯一無二の世界が、写欲を刺激する"
"XF16mmF2.8 R WR","https://fujifilm-x.com/ja-jp/lenses/xf16mmf28-r-wr/","「コンパクトプライム」シリーズの広角レンズ"
"XF18mmF2 R","https://fujifilm-x.com/ja-jp/lenses/xf18mmf2-r-2/","使いやすい画角、繊細な解像力、豊かな階調描写で風景から人物スナップまでオールマイティーに活躍"
"XF23mmF1.4 R","https://fujifilm-x.com/ja-jp/lenses/xf23mmf14-r/","優美なボケを実感できる大口径F1.4。自然な画角で物語をつむぎ出すレンズ"
"XF23mmF2 R WR","https://fujifilm-x.com/ja-jp/lenses/xf23mmf2-r-wr/","180gの小型軽量と高速ＡＦにより、軽快なスタイルで撮影を楽しめる広角レンズ"
"XF27mmF2.8","https://fujifilm-x.com/ja-jp/lenses/xf27mmf28/","シリーズ最軽量78gのライトウェイトレンズ。小型軽量ボディとのセットで最強のスナップシューターに"
"XF35mmF1.4 R","https://fujifilm-x.com/ja-jp/lenses/xf35mmf14-r/","絞り開放から高い描写力を存分に堪能できるハイパフォーマンスの標準レンズ"
"XF35mmF2 R WR","https://fujifilm-x.com/ja-jp/lenses/xf35mmf2-r-wr/","軽量コンパクトなパッケージに高性能が詰まった被写体を選ばない標準レンズの新定番。"
"XF50mmF2 R WR","https://fujifilm-x.com/ja-jp/lenses/xf50mmf2-r-wr/","軽快にポートレート撮影やスナップ撮影を楽しめる中望遠レンズ"
"XF56mmF1.2 R","https://fujifilm-x.com/ja-jp/lenses/xf56mmf12-r/","シャープさとボケの美しさを兼ね備えた大口径中望遠レンズ"
"XF56mmF1.2 R APD","https://fujifilm-x.com/ja-jp/lenses/xf56mmf12-r-apd/","柔らかく美しいボケ味を生み出すAPDフィルター搭載のAFレンズ"
"XF60mmF2.4 R Macro","https://fujifilm-x.com/ja-jp/lenses/xf60mmf24-r-macro/","シリーズ最高レベルの解像力を持つ最短撮影距離26.7cm最大倍率0.5倍の中望遠マクロ"
"XF80mmF2.8 R LM OIS WR Macro","https://fujifilm-x.com/ja-jp/lenses/xf80mmf28-r-lm-ois-wr-macro/","等倍撮影に対応した中望遠マクロレンズ"
"XF90mmF2 R LM WR","https://fujifilm-x.com/ja-jp/lenses/xf90mmf2-r-lm-wr/","限界まで光学性能を追求した設計が研ぎ澄まされたキレ味 、美しいボケ味を生む立体感をもって被写体を描写する大口径望遠レンズ"
"XF200mmF2 R LM OIS WR","https://fujifilm-x.com/ja-jp/lenses/xf200mmf2-r-lm-ois-wr/","超高画質F2.0大口径望遠レンズ"
"XF8-16mmF2.8 R LM WR","https://fujifilm-x.com/ja-jp/lenses/xf8-16mmf28-r-lm-wr/","F2.8一定ズームで最広角8ｍｍの超広角ズームレンズ"
"XF10-24mmF4 R OIS","https://fujifilm-x.com/ja-jp/lenses/xf10-24mmf4-r-ois/","超広角から広角まで被写体までの距離が近い屋内撮影で威力を発揮する懐の広いズームレンズ"
"XF16-55mmF2.8 R LM WR","https://fujifilm-x.com/ja-jp/lenses/xf16-55mmf28-r-lm-wr/","画質 、カバレージ、信頼性、標準ズームに求められる要素をすべて集約した作画主義のレンズ"
"XF18-55mmF2.8-4 R LM OIS","https://fujifilm-x.com/ja-jp/lenses/xf18-55mmf28-4-r-lm-ois/","使用頻度の高い領域を1 本でカバーするコンパクトで機動性の高い標準ズームレンズ"
"XF18-135mmF3.5-5.6 R LM OIS WR","https://fujifilm-x.com/ja-jp/lenses/xf18-135mmf35-56-r-lm-ois-wr/","5.0段分の光学手ブレ補正、広角域から望遠域までカバーしシャッターチャンスを逃さない全天候型ズームレンズ"
"XF50-140mmF2.8 R LM OIS WR","https://fujifilm-x.com/ja-jp/lenses/xf50-140mmf28-r-lm-ois-wr/","最高レベルの光学性能を1kgを切る質量に凝縮 。過酷な状況下でもタフに働く望遠ズームレンズ"
"XF55-200mmF3.5-4.8 R LM OIS","https://fujifilm-x.com/ja-jp/lenses/xf55-200mmf35-48-r-lm-ois/","被写体を引き寄せるのに適した超望遠域までのズーム到達範囲と優れた携帯性を両立"
"XF100-400mmF4.5-5.6 R LM OIS WR","https://fujifilm-x.com/ja-jp/lenses/xf100-400mmf45-56-r-lm-ois-wr/","5.0段分の光学手ブレ補正で超望遠域での手持ち撮影を可能にする高性能な全天候型ズームレンズ"
"XC15-45mmF3.5-5.6 OIS PZ","https://fujifilm-x.com/ja-jp/lenses/xc15-45mmf35-56-ois-pz/","Xシリーズ用ズームレンズとして最小・最軽量（135g）"
"XC16-50mmF3.5-5.6 OIS","https://fujifilm-x.com/ja-jp/lenses/xc16-50mmf35-56-ois/","上位機種に迫る高画質を持つハイコストパフォーマンスズームレンズ"
"XC50-230mmF4.5-6.7 OIS","https://fujifilm-x.com/ja-jp/lenses/xc50-230mmf45-67-ois/","高い光学性能と手ブレ補正効果で高倍率ズームながら全域でクリアな画質を実現"
"XF1.4X TC WR","https://fujifilm-x.com/ja-jp/lenses/xf14x-tc-wr/","XFレンズの光学設計に最適化された純正テレコンバーター"
"XF2X TC WR","https://fujifilm-x.com/ja-jp/lenses/xf2x-tc-wr/","主レンズの焦点距離を2倍に拡大する純正テレコンバーター"
"MKX18-55mmT2.9","https://fujifilm-x.com/ja-jp/lenses/mkx18-55mmt29/","軽量設計と高い光学性能を実現したシネマレンズ"
"MKX50-135mmT2.9","https://fujifilm-x.com/ja-jp/lenses/mkx50-135mmt29/","軽量設計と高い光学性能を実現したシネマレンズ"
