"name","url","poem"
"AF-P DX NIKKOR 10-20mm f/4.5-5.6G VR","https://www.nikon-image.com/products/nikkor/fmount/af-p_dx_nikkor_10-20mm_f45-56g_vr/","気軽に楽しめる小型軽量の超広角ズームレンズ"
"AF-S DX NIKKOR 10-24mm f/3.5-4.5G ED","https://www.nikon-image.com/products/nikkor/fmount/af-s_dx_nikkor_10-24mm_f35-45g_ed/","情景を広く大きく、存分に写しこめる超広角ズームレンズ"
"AF-S DX Zoom-Nikkor 12-24mm f/4G IF-ED","https://www.nikon-image.com/products/nikkor/fmount/af-s_dx_zoom-nikkor_12-24mm_f4g_if-ed/","情景を広く大きく、存分に写しこめる超広角ズームレンズ"
"AF-S NIKKOR 14-24mm f/2.8G ED","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_14-24mm_f28g_ed/","開放F値が2.8で一定の、描写力に優れた大口径ズームレンズ"
"AF-S NIKKOR 16-35mm f/4G ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_16-35mm_f4g_ed_vr/","解像の素晴らしさとVR が魅力の超広角ズームレンズ"
"AI AF-S Zoom-Nikkor 17-35mm f/2.8D IF-ED","https://www.nikon-image.com/products/nikkor/fmount/ai_af-s_zoom-nikkor_17-35mm_f28d_if-ed/","超広角～広角域をカバーするハイコントラスト超広角ズームレンズ"
"AF-S NIKKOR 18-35mm f/3.5-4.5G ED","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_18-35mm_f35-45g_ed/","超広角～広角域を気軽に楽しめる超広角ズームレンズ"
"AF-S DX NIKKOR 16-80mm f/2.8-4E ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_dx_nikkor_16-80mm_f28-4e_ed_vr/","描写力と機動力に優れたDX常用標準ズームレンズ"
"AF-S DX Zoom-Nikkor 17-55mm f/2.8G IF-ED","https://www.nikon-image.com/products/nikkor/fmount/af-s_dx_zoom-nikkor_17-55mm_f28g_if-ed/","大口径レンズならではの美しさが味わえる標準ズームレンズ"
"AF-P DX NIKKOR 18-55mm f/3.5-5.6G VR","https://www.nikon-image.com/products/nikkor/fmount/af-p_dx_nikkor_18-55mm_f35-56g_vr/","優れたAF性能と高い機動力を実現するDX標準ズームレンズ"
"AF-S DX NIKKOR 18-105mm f/3.5-5.6G ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_dx_nikkor_18-105mm_f35-56g_ed_vr/","望遠域までをカバーした高倍率標準ズームレンズ"
"AF-S NIKKOR 24-70mm f/2.8E ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_24-70mm_f28e_ed_vr/","VR機構を搭載し、NIKKOR初のED非球面レンズを採用。極限の画質を追求した高性能大口径標準ズームレンズ"
"AI AF Zoom-Nikkor 24-85mm f/2.8-4D IF","https://www.nikon-image.com/products/nikkor/fmount/ai_af_zoom-nikkor_24-85mm_f28-4d_if/","多彩なシーンに対応する使いやすい標準ズームレンズ"
"AF-S NIKKOR 24-85mm f/3.5-4.5G ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_24-85mm_f35-45g_ed_vr/","実用性と機能性に富んだ標準ズームレンズ"
"AF-S NIKKOR 24-120mm f/4G ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_24-120mm_f4g_ed_vr/","実用性と機能性に富んだ標準ズームレンズ"
"AF-S DX NIKKOR 55-300mm f/4.5-5.6G ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_dx_nikkor_55-300mm_f45-56g_ed_vr/","超望遠撮影が手軽に楽しめる、コンパクトな超望遠ズームレンズ"
"AF-S NIKKOR 70-200mm f/2.8E FL ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_70-200mm_f28e_fl_ed_vr/","機動性と卓越した光学性能を高次元で両立した、大口径望遠ズームレンズ。"
"AF-S NIKKOR 70-200mm f/4G ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_70-200mm_f4g_ed_vr/","プロフェッショナルの信頼に応える鮮明な望遠ズームレンズ"
"AF-P NIKKOR 70-300mm f/4.5-5.6E ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-p_nikkor_70-300mm_f45-56e_ed_vr/","FXフォーマット対応の手軽に使える望遠ズームレンズ"
"AF-P DX NIKKOR 70-300mm f/4.5-6.3G ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-p_dx_nikkor_70-300mm_f45-63g_ed_vr/","高いAF性能を備えた軽量コンパクトな超望遠ズームレンズ"
"AI AF Zoom-Nikkor 80-200mm f/2.8D ED ＜NEW＞","https://www.nikon-image.com/products/nikkor/fmount/ai_af_zoom-nikkor_80-200mm_f28d_ed/","美しい背景ボケを活かしたい、明るく使いやすい望遠ズームレンズ"
"AF-S NIKKOR 80-400mm f/4.5-5.6G ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_80-400mm_f45-56g_ed_vr/","望遠から超望遠までをカバーする、VR付き5倍望遠ズームレンズ"
"AF-S NIKKOR 180-400mm f/4E TC1.4 FL ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_180-400mm_f4e_tc14_fl_ed_vr/","優れた画質、機動力、機能性を備えた、1.4倍テレコンバーター内蔵の超望遠ズームレンズ"
"AF-S NIKKOR 200-400mm f/4G ED VR II","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_200-400mm_f4g_ed_vr_2/","非常に使い勝手のよい、望遠ズームレンズの最高峰"
"AF-S NIKKOR 200-500mm f/5.6E ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_200-500mm_f56e_ed_vr/","高い光学性能とVR機構を搭載。気軽に超望遠撮影が楽しめるズームレンズ"
"AF-S DX NIKKOR 18-140mm f/3.5-5.6G ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_dx_nikkor_18-140mm_f35-56g_ed_vr/","多くのシーンを1本でこなせる高倍率ズームレンズ"
"AF-S DX NIKKOR 18-200mm f/3.5-5.6G ED VR II","https://www.nikon-image.com/products/nikkor/fmount/af-s_dx_nikkor_18-200mm_f35-56g_ed_vr_2/","多くのシーンを1本でこなせる高倍率ズームレンズ"
"AF-S DX NIKKOR 18-300mm f/3.5-6.3G ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_dx_nikkor_18-300mm_f35-63g_ed_vr/","広角から望遠まで多彩に楽しむ高倍率ズームレンズ"
"AF-S NIKKOR 28-300mm f/3.5-5.6G ED VR","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_28-300mm_f35-56g_ed_vr/","多くのシーンを1本でこなせる高倍率ズームレンズ"
"AI AF Nikkor 14mm f/2.8D ED","https://www.nikon-image.com/products/nikkor/fmount/ai_af_nikkor_14mm_f28d_ed/","超広角ならではのダイナミズムを楽しむ"
"AF-S NIKKOR 20mm f/1.8G ED","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_20mm_f18g_ed/","小型・軽量・高画質を実現した大口径超広角単焦点レンズ"
"AI AF Nikkor 20mm f/2.8D","https://www.nikon-image.com/products/nikkor/fmount/ai_af_nikkor_20mm_f28d/","超広角ならではのダイナミズムを楽しむ"
"AF-S NIKKOR 24mm f/1.4G ED","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_24mm_f14g_ed/","大きく美しいボケ味も楽しめる、明るい大口径広角レンズ"
"AF-S NIKKOR 24mm f/1.8G ED","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_24mm_f18g_ed/","小型・軽量・高画質を実現した、気軽に楽しめる大口径広角レンズ"
"AI AF Nikkor 24mm f/2.8D","https://www.nikon-image.com/products/nikkor/fmount/ai_af_nikkor_24mm_f28d/","ちょっと広めの画角が心地よい、気軽に使える広角レンズ"
"AF-S NIKKOR 28mm f/1.4E ED","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_28mm_f14e_ed/","圧倒的な描写力と自然なボケで28mmを極める大口径広角レンズ"
"AF-S NIKKOR 28mm f/1.8G","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_28mm_f18g/","解像力の高い単焦点レンズならではのシャープなピントと、開放F値1.8 の美しい自然なボケ味が楽しめる、画角75°（FXフォーマット時）の大口径広角レンズです。ナノクリスタルコートの採用で、ゴーストやフレアの少ないクリアーな画像を実現しています。"
"AI AF Nikkor 28mm f/2.8D","https://www.nikon-image.com/products/nikkor/fmount/ai_af_nikkor_28mm_f28d/","ちょっと広めの画角が心地よい、気軽に使える広角レンズ"
"AF-S NIKKOR 35mm f/1.4G","https://www.nikon-image.com/products/nikkor/fmount/af-s_nikkor_35mm_f14g/","風景、夜景、星の撮影に最適な大口径広角レンズ"
