"name","url","poem"
"FE 12-24mm F4 G","https://www.sony.jp/ichigan/products/SEL1224G/","ED（特殊低分散）ガラス、スーパーEDガラスにより色収差を良好に補正\nナノARコーティング採用による高い耐逆光性能\n新規光学設計により、超広角ながら絞り開放から高い解像性能を実現\n超広角12mmが生み出す迫力の空間表現。高画質と小型・軽量を両立した超広角ズームレンズ\n質量約565ｇ達成。コンパクトなEマウントボディにマッチする優れた携行性\n高速、高精度かつ静音性に優れたダイレクトドライブSSM（DDSSM）による快適なAF\n圧倒的な遠近感を楽しむ、多彩な画角バリエーション\nカスタマイズ可能なフォーカスホールドボタンなど、高い操作性を実現"
"FE 16-35mm F2.8 GM","https://www.sony.jp/ichigan/products/SEL1635GM/","11枚羽根の円形絞りによる自然なぼけ表現\n高い機動力が求められる撮影現場に最適な小型・軽量設計\n静止画・動画を問わず精緻なピント合わせを可能にする高精度で静粛なフォーカス駆動\n画面の隅々まで高解像と鮮鋭感を追求。ダイナミックに世界を切り取るズーム全域F2.8の大口径広角ズームレンズ\nナノARコーティングで、フレアやゴーストを大幅に抑制\nフィールドワークをサポートする優れた操作性\n徹底したぼけ味へのこだわり\nGマスターの高い設計基準による周辺部まで高解像と鮮鋭感\nレンズ最前面にフッ素コーティングを採用\nGマスターならではの滑らかで美しいぼけ味\nフローティング機構の採用により、近距離から遠距離まで鮮鋭な描写を実現"
"Vario-Tessar T＊ FE 16-35mm F4 ZA OSS","https://www.sony.jp/ichigan/products/SEL1635Z/","ズーム全域で使いやすい開放F値4\n画面周辺部まで忠実に再現する、35mmフルサイズに対応した小型軽量の高性能広角ズームレンズ\n35mmフルサイズ対応、小型軽量の高性能広角ズームレンズ\n光学式手ブレ補正機能搭載\n非球面レンズ5枚をはじめ、EDガラス3枚、ツァイスの「T＊（ティースター）コーティング」を用いた高い描写性能"
"FE 24-70mm F2.8 GM","https://www.sony.jp/ichigan/products/SEL2470GM/","MFリング、AF/MFスイッチ、フォーカスホールドボタン、ズームロックスイッチ搭載など、プロユースに応える高い操作性\n新開発XA（extreme aspherical）レンズと新たに形状設計された9枚絞り羽根の円形絞りによる、なめらかで美しいぼけ味\nED（特殊低分散）ガラス、スーパーEDガラスが色収差を適切に補正し、被写体を鮮鋭に描写\n高精度で静粛性も備えたダイレクトドライブSSM（DDSSM）を採用。静止画・動画を問わず精緻なピント合わせが可能\n新開発の超高度非球面XA（extreme aspherical）レンズを含む計3枚の非球面レンズを効果的に配置し、絞り開放からシャープな描写を実現\nナノARコーティング採用により反射を抑えたヌケの良い描写性能\nシャープネスを追求し、高解像度時代に求められる描写力を備えた、ズーム全域F2.8の大口径標準ズームレンズ\nこれまでにない水準の高解像設計によって徹底的に解像性能にこだわり、被写体の細部（高周波）まで精密に描写"
"Vario-Tessar T＊ FE 24-70mm F4 ZA OSS","https://www.sony.jp/ichigan/products/SEL2470Z/","ズーム全域で使いやすい開放F値4\nズーム全域で開放F値4の明るさを実現した、35ｍｍフルサイズ対応の小型高性能ツァイス標準ズームレンズ\n35mmフルサイズ対応の小型高性能標準ズームレンズ\n光学式手ブレ補正機能搭載\nツァイスの「T＊（ティースター）コーティング」をはじめ、非球面レンズ5枚、EDガラス1枚を用いた高い描写性能"
"FE 24-105mm F4 G OSS","https://www.sony.jp/ichigan/products/SEL24105G/","応答性の高いフォーカスリングなど、利便性を追求した高い操作性\n最短撮影距離0.38m、最大撮影倍率0.31倍の近接撮影が可能\n高速・高精度で静音性に優れたDDSSM（ダイレクトドライブSSM）を採用\n高度非球面AA（advanced aspherical）レンズを採用し、ズーム全域で高い解像力を実現\nフレアやゴーストを抑制するナノARコーティングを採用\nズーム全域で高解像を実現し、本格的な動画撮影にも対応。幅広い撮影領域でオールラウンドに活躍する標準ズームレンズ\nED（特殊低分散）ガラスを効果的に配置し、色収差を良好に補正\n光学式手ブレ補正機構の搭載により、手持ち撮影をサポート\n円形絞りや球面収差形状の最適化で美しく柔らかなぼけ描写が可能\nレンズ最前面にフッ素コーティングを採用\n質量約663gと小型・軽量化し、Eマウントシステム全体での高い携行性を実現"
"FE 24-240mm F3.5-6.3 OSS","https://www.sony.jp/ichigan/products/SEL24240/","手持ち撮影時に威力を発揮する、光学式手ブレ補正機能搭載\nEマウント35mmフルサイズ対応レンズ初、光学10倍高倍率ズームレンズ\n広角24mmから望遠240mmまでをカバーする幅広いズーム領域"
"FE 28-70mm F3.5-5.6 OSS","https://www.sony.jp/ichigan/products/SEL2870/","35mmフルサイズ対応レンズをはじめて購入される方におすすめの標準ズームレンズ\n35mmフルサイズ対応の小型高性能標準ズームレンズ\n手持ち撮影時に威力を発揮する、光学式手ブレ補正機能\n非球面レンズ3枚、EDレンズ1枚による諸収差を抑えた高い描写力"
"FE PZ 28-135mm F4 G OSS","https://www.sony.jp/ichigan/products/SELP28135G/","プロの動画撮影で求められる操作性と光学性能を実現した、35mmフルサイズ対応の電動ズームレンズ\n優れた光学技術により、4K映像制作を高次元で実現\n35mmフルサイズ対応の電動ズームレンズ\n光学式手ブレ補正機能搭載\nプロの高い要求に応えるために磨き抜かれた操作性\n動画撮影に配慮した静音設計\n各部名称"
"FE 70-200mm F2.8 GM OSS","https://www.sony.jp/ichigan/products/SEL70200GM/","優れた近接撮影能力を誇る望遠ズーム\nαレンズ最多の11枚羽根の円形絞りを採用\n目を見張る描写とAF性能。待望のEマウント大口径F2.8望遠ズームレンズ\n光学式手ブレ補正機構を内蔵\n新開発の超高度非球面XA（extreme aspherical）レンズにより、高い解像力と美しいぼけ味を実現\nαレンズ初の着脱式三脚座を採用\nリングドライブSSMと2つのリニアモーターで撮影者の意図に即応する、高速・高精度AF\nナノARコーティング採用により反射を抑えたヌケの良い描写性能\n近接撮影能力を向上させるフローティング機構を採用\n目を見張る、圧倒的な解像力\nレンズ最前面にフッ素コーティングを採用\nフィールドワークをサポートする優れた操作性・信頼性\nプロユースに応える、高い操作性を実現\n新開発の1.4倍、2倍のテレコンバーター（別売）に対応"
"FE 70-200mm F4 G OSS","https://www.sony.jp/ichigan/products/SEL70200G/","手持ち撮影時に威力を発揮する、光学式手ブレ補正機能\nα7シリーズにふさわしい小型・軽量設計\nハイアマチュアユーザーのニーズに応える高い操作性を実現\nGレンズならではの卓越した描写性能と磨き抜かれた操作性を備えた望遠ズームレンズ\n「ナノARコーティング」採用により、フレア・ゴーストを抑えたヌケの良い高画質を実現"
"FE 70-300mm F4.5-5.6 G OSS","https://www.sony.jp/ichigan/products/SEL70300G/","テレ端でも、画面周辺まで高解像を実現\nリニアモーター採用により、高速・高精度で静粛性にも優れたAF\n望遠撮影時に便利なフォーカスホールドボタンやフォーカスレンジリミッターを搭載\n優れた近接撮影能力\nEマウントレンズ初、300mmまでカバーする高解像望遠ズームレンズ\nナノARコーティング採用により反射を抑えたヌケの良い描写性能\n望遠域の撮影などで威力を発揮する、光学式手ブレ補正機構搭載"
