"name","url","poem"
"SP 35mm F/1.8 Di VC USD","https://www.tamron.jp/product/lenses/f012.html","焦点距離35mmのスタンダードな広角レンズに手ブレ補正機構を搭載し、0.2mという最短撮影距離を達成した、他にない極めて実用性の高いレンズが誕生。 開放F/1.8から高い性能を達成。バランスの良い描写を実現しました。"
"SP 45mm F/1.8 Di VC USD","https://www.tamron.jp/product/lenses/f013.html","45mmという焦点距離、そして極めてシャープな描写を持つ個性的な標準レンズが誕生。フルサイズ対応の大口径標準単焦点レンズとしては初の手ブレ補正機構を搭載*。開放F/1.8からクリアで切れの良い描写を実現しました。"
"SP 85mm F/1.8 Di VC USD","https://www.tamron.jp/product/lenses/f016.html","人を撮るために誕生した、SP 85mm F/1.8手ブレ補正機構「VC」を世界初搭載*、最高レベルの光学性能を追求"
"SP 90mm F/2.8 Di MACRO 1:1 VC USD","https://www.tamron.jp/product/lenses/f017.html","タムロン90mmマクロレンズの新たな幕開け高い光学性能を継承しながら、手ブレ補正機構「VC」の性能向上を実現"
"SP AF90mm F/2.8 Di MACRO 1:1","http://www.tamron.co.jp/lineup/272e/index.html",""
"18-400mm F/3.5-6.3 Di II VC HLD","https://www.tamron.jp/product/lenses/b028.html","世界で初めて22.2倍を達成! 超望遠高倍率ズームで、かつてない撮影体験を"
"28-300mm F/3.5-6.3 Di VC PZD","https://www.tamron.jp/product/lenses/a010.html","透明感あふれる美しい画像とコンパクトなレンズボディ長年培った技術を結集し、スタイリッシュに進化を遂げた高倍率ズームレンズが誕生"
"16-300mm F/3.5-6.3 Di II VC PZD MACRO","https://www.tamron.jp/product/lenses/b016.html","広角端16mmが、高倍率ズームの常識を変える新たなスタンダードを創造する、究極の一本"
"18-200mm F/3.5-6.3 Di II VC","https://www.tamron.jp/product/lenses/b018.html","気軽に使いやすい18-200mmのズーム域をカバーさまざまなシーンを撮りたくなる、軽量で快適なオールマイティレンズです"
"18-270mm F/3.5-6.3 Di II VC PZD","https://www.tamron.jp/product/lenses/b008.html","軽量化コンパクトを実現し、基本性能を進化させたレンズ・テクノロジー定在波型超音波モーター「PZD」、手ブレ補正機構 「VC」搭載"
"14-150mm F/3.5-5.8 Di III","https://www.tamron.jp/product/lenses/c001.html","タムロン初のマイクロフォーサーズ用高倍率ズームレンズ、2カラーで誕生"
"18-200mm F/3.5-6.3 Di III VC","https://www.tamron.jp/product/lenses/b011.html","SMART EXPLORERかるく、自由に高倍率ズームのDNAが美しく進化した"
"SP 15-30mm F/2.8 Di VC USD G2","https://www.tamron.jp/product/lenses/a041.html","描かれる圧巻の世界"
"17-35mm F/2.8-4 Di OSD","https://www.tamron.jp/product/lenses/a037.html","この美しさと、どこへでも。"
"SP 15-30mm F/2.8 Di VC USD","https://www.tamron.jp/product/lenses/a012.html","高性能・高解像を最優先させた、究極の超広角ズームレンズ周辺域までクリアな表現が生きてくる"
"10-24mm F/3.5-4.5 Di II VC HLD","https://www.tamron.jp/product/lenses/b023.html","撮る楽しさを実感できる、コンパクトな超広角ズームレンズ"
"SP AF10-24mm F/3.5-4.5 Di II LD Aspherical [IF]","http://www.tamron.co.jp/lineup/b001/index.html",""
"28-75mm F/2.8 Di III RXD","https://www.tamron.jp/product/lenses/a036.html","私たちが目指した美しさがここに。"
"SP 24-70mm F/2.8 Di VC USD G2","https://www.tamron.jp/product/lenses/a032.html","磨き上げられた完成度。新世代大口径標準ズームレンズ。"
"SP AF28-75mm F/2.8 XR Di LD Aspherical [IF] MACRO","http://www.tamron.co.jp/lineup/a09/index.html",""
"SP AF17-50mm F/2.8 XR Di II LD Aspherical [IF]","http://www.tamron.co.jp/lineup/a16/index.html",""
"70-210mm F/4 Di VC USD","https://www.tamron.jp/product/lenses/a034.html","巡り合えた、その瞬間を鮮やかに。"
"SP 70-200mm F/2.8 Di VC USD G2","https://www.tamron.jp/product/lenses/a025.html","望遠撮影の可能性を拡げる大胆な進化"
"SP AF70-200mm F/2.8 Di LD [IF] MACRO","http://www.tamron.co.jp/lineup/a001/",""
"SP 70-300mm F/4-5.6 Di VC USD","https://www.tamron.jp/product/lenses/a030.html","ダイナミックで美しく、これまでの表現領域を超える高性能望遠ズームレンズXLDレンズを採用し、高次元の描写力を実現"
"AF70-300mm F/4-5.6 Di LD MACRO","http://www.tamron.co.jp/lineup/a17/index.html",""
"100-400mm F/4.5-6.3 Di VC USD","https://www.tamron.jp/product/lenses/a035.html","高画質・AF精度・機動力。望遠に求められる全てを凝縮。"
"SP 150-600mm F/5-6.3 Di VC USD G2","https://www.tamron.jp/product/lenses/a022.html","世界に賞賛された超望遠がさらに進化"
"SP 150-600mm F/5-6.3 Di VC USD","https://www.tamron.jp/product/lenses/a011.html","600mmの超望遠ズームレンズで迫力のあるショットを、より美しく"
